,Sentence,IsQuestion
0,hindi movies for adults,No
1,are panda dogs real,Yes
2,asuedraw winning numbers,No
3,sentry replacement keys,No
4,rebuilding nicad battery packs,No
5,can you overdose on melatonin,Yes
6,list of browsers,No
7,que son numeros naturales,No
8,mini motos honda,No
9,mulatto,No
10,gene autry museum,No
11,dominicks,No
12,wordz,No
13,all super bowl winners,No
14,townhouse with garage floor plan,No
15,teacher appreciation quotes,No
16,outdoor wooden steps,No
17,ceramic classes,No
18,boletos primera plus,No
19,how to build a shower pan,Yes
20,vintage shoe company,No
21,pent house magazine,No
22,ejemplos de quimica,No
23,www carnival cruise lines,No
24,where is mica found,No
25,sonhar com carrapatos,No
26,hopi tribe history,No
27,vehiculos siniestrados,No
28,what causes cheese to mold,Yes
29,how to write a quotation letter,Yes
30,creperas,No
31,left side rib pain,No
32,safe search off,No
33,vtu bangalore results,No
34,segunda mano herramientas,No
35,concurso magisterio 2013,No
36,catherine bell measurements,No
37,primera gerra mundial,No
38,eduardo costa ouvir todas as musicas,No
39,gram positive coccobacilli,No
40,cheap jewelry,No
41,digitador em casa,No
42,what is carpe diem,Yes
43,shenandoah river map,No
44,how to write a formal invitation,Yes
45,party planner checklist,No
46,criminal case game,No
47,toastmaster breadmaker recipes html,No
48,shared baixar musicas gratis,No
49,drchatgyi video,No
50,komercijalna banka,No
51,horseshoe pits official size,No
52,treatment for alopecia,No
53,debate silas malafaia,No
54,what do baby sparrows eat,Yes
55,god bless america free sheet music,No
56,symptoms testicular cancer,No
57,el cartel tv canal caracol,No
58,happy anniversary cards,No
59,cfe consulta tu recibo,No
60,carvel ice cream cake coupons,No
61,descargar virtual dj 6 gratis,No
62,reptrax mobile app,No
63,ticketmaster phoenix,No
64,pc to pc transfer,No
65,beyond the rack,No
66,busco empleo en barranquilla,No
67,how did anne frank get caught,Yes
68,jornal estado de minas online,No
69,indiana state park map,No
70,www g1 com br,No
71,justin bieber vip passes,No
72,what birth control does medicaid cover,Yes
73,little caesars puebla,No
74,ways to test your boyfriend,No
75,how to remove chatzum,Yes
76,saints row cars,No
77,videos de mujeres cojiendo,No
78,what is the purpose of respiration,Yes
79,tcp ip,No
80,aj wright department store,No
81,papa johns promo codes,No
82,patio umbrella reviews,No
83,lionel messi,No
84,w is for witness release date,No
85,musica vagalumes,No
86,el esqueleto,No
87,goodyear precios,No
88,what should i eat for dinner,Yes
89,fiat giama mar del plata,No
90,building tips homemade greenhouse,No
91,jogos de vestir herois,No
92,descargar sonido gratis,No
93,craftsman table saw,No
94,photos of hair styles,No
95,what is quebec famous for,Yes
96,carnaval de brasil en vivo,No
97,unexplained muscle soreness,No
98,matar zombies juegos,No
99,stainless steel tubing,No
100,2 stroke bikes for sale,No
101,yu tube music,No
102,marcela,No
103,what was the kansas nebraska act,Yes
104,inea bachillerato,No
105,used television,No
106,eastern time to central time,No
107,scag zero turn mowers,No
108,seductive ecards,No
